"Year"	"Accuracy@1"	"Accuracy@5"	"Accuracy@10"	"Accuracy@1_new"	"Accuracy@5_new"	"Accuracy@10_new"	"OOV"	"New_pairs"
1995	0.0256410256	0.0512820513	0.1025641026	0	0	0	0.2307692308	0.4615384615
1996	0.3170731707	0.4390243902	0.487804878	0	0	0.0476190476	0.1219512195	0.512195122
1997	0.3333333333	0.5952380952	0.6666666667	0	0.0588235294	0.1764705882	0.0952380952	0.4047619048
1998	0.4146341463	0.6341463415	0.6341463415	0	0.0666666667	0.0666666667	0.1707317073	0.3658536585
1999	0.325	0.55	0.6	0	0	0.0588235294	0.25	0.425
2000	0.347826087	0.5	0.5652173913	0	0.0454545455	0.1363636364	0.1739130435	0.4782608696
2001	0.4255319149	0.6170212766	0.6595744681	0	0.0588235294	0.1764705882	0.1914893617	0.3617021277
2002	0.3414634146	0.512195122	0.6097560976	0	0	0.0666666667	0.1463414634	0.3658536585
2003	0.4210526316	0.6315789474	0.6842105263	0	0.0833333333	0.1666666667	0.1315789474	0.3157894737
2004	0.3513513514	0.5135135135	0.5405405405	0	0	0	0.1351351351	0.3783783784
2005	0.3870967742	0.5806451613	0.6129032258	0	0.0909090909	0.0909090909	0.1612903226	0.3548387097
2006	0.325	0.5	0.55	0	0	0	0.125	0.45
2007	0.4054054054	0.6216216216	0.7027027027	0	0.1818181818	0.1818181818	0.1081081081	0.2972972973
2008	0.3888888889	0.6666666667	0.7222222222	0	0	0.1666666667	0.0555555556	0.3333333333
2009	0.3428571429	0.6571428571	0.7142857143	0	0	0.1	0	0.2857142857
2010	0.5483870968	0.8064516129	0.9032258065	0.2	0.2	0.8	0	0.1612903226
Average	0.356283899	0.5547829786	0.6097387928	0.0125	0.0491143048	0.1396963331	0.1310688869	0.3719879752
